Year,Rank,Player,Nationality,Position,Club,Points,League,League Rating,League Top Scorer,League Top Assist Provider,League Best Goalkeeper,League Best Player,UCL,UCL Rating,UCL Top Scorer,UCL Top Assist Provider,UCL Best Goalkeeper,UCL Best Player,Continental Cup,Continental Cup Rating,Continental Cup Top Scorer,Continental Cup Top Assist Provider,Continental Cup Best Goalkeeper,Continental Cup Best Player,WC,WC Rating,WC Top Scorer,WC Top Assist Provider,WC Best Goalkeeper,WC Best Player,Other Rating,Time-Weighted Google Trend Score,Wiki Page Views
2022,1,Karim Benzema,France,Forward,Real Madrid,549,1,7.73,1,0,0,1,1,8.08,1,0,0,1,,,,,,,,,,,,,7.46,25.183088749126483,3635167
2022,2,Sadio Mané,Senegal,Forward,Liverpool,193,0,7.22,0,0,0,0,0,7.03,0,0,0,0,1.0,7.43,0.0,0.0,0.0,1.0,,,,,,,7.56,8.700908455625436,2615768
2022,3,Kevin De Bruyne,Belgium,Midfielder,Manchester City,175,1,7.78,0,0,0,1,0,7.27,0,0,0,0,,,,,,,,,,,,,7.85,12.795946890286514,1645548
2022,4,Robert Lewandowski,Poland,Forward,Bayern Munich,170,1,7.47,1,0,0,0,0,7.84,0,0,0,0,,,,,,,,,,,,,7.69,28.14395527603075,3785756
2022,5,Mohamed Salah,Egypt,Forward,Liverpool,116,0,7.14,1,1,0,0,0,7.0,0,0,0,0,0.0,7.13,0.0,0.0,0.0,0.0,,,,,,,7.11,18.823200559049617,4237344
2022,6,Kylian Mbappé,France,Forward,Paris Saint-Germain,85,1,7.77,1,1,0,1,0,7.41,0,0,0,0,,,,,,,,,,,,,7.9,17.92662473794549,3646436
2022,7,Thibaut Courtois,Belgium,Goalkeeper,Real Madrid,82,1,7.04,0,0,0,0,1,7.48,0,0,1,0,,,,,,,,,,,,,6.9,5.112508735150245,1254597
2022,8,Vinícius Júnior,Brazil,Midfielder,Real Madrid,61,1,7.35,0,0,0,0,1,7.27,0,1,0,0,,,,,,,,,,,,,6.87,2.9979035639413,1494005
2022,9,Luka Modrić,Croatia,Midfielder,Real Madrid,20,1,7.19,0,0,0,0,1,7.11,0,0,0,0,,,,,,,,,,,,,7.38,2.356394129979036,1625797
2022,10,Erling Haaland,Norway,Forward,Borussia Dortmund,18,0,7.66,0,0,0,0,0,7.0,0,0,0,0,,,,,,,,,,,,,7.73,21.45003494060098,4643545
2022,11,Son Heung-min,South Korea,Forward,Tottenham Hotspur,5,0,7.5,1,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,7.2,20.52480782669462,1963682
2022,12,Riyad Mahrez,Algeria,Midfielder,Manchester City,4,1,7.27,0,0,0,0,0,7.68,0,0,0,0,0.0,7.03,0.0,0.0,0.0,0.0,,,,,,,7.78,21.6408106219427,970983
2022,13,Sébastien Haller,Ivory Coast,Forward,Ajax,2,1,7.3,1,0,0,0,0,7.78,0,0,0,0,0.0,6.98,0.0,0.0,0.0,0.0,,,,,,,6.94,9.86932215234102,1195672
2022,14,Fabinho,Brazil,Midfielder,Liverpool,2,0,6.96,0,0,0,0,0,7.05,0,0,0,0,,,,,,,,,,,,,7.19,27.735150244584208,7115
2022,14,Rafael Leão,Portugal,Forward,AC Milan,2,1,7.19,0,0,0,1,0,6.7,0,0,0,0,,,,,,,,,,,,,6.94,5.147449336128582,465641
2022,16,Virgil van Dijk,Netherlands,Defender,Liverpool,1,0,7.26,0,0,0,0,0,7.2,0,0,0,0,,,,,,,,,,,,,7.37,0.5094339622641509,1399624
2022,17,Casemiro,Brazil,Midfielder,Real Madrid,1,1,7.34,0,0,0,0,1,7.07,0,0,0,0,,,,,,,,,,,,,7.17,1.0433263452131376,577739
2022,17,Luis Díaz,Colombia,Midfielder,Liverpool,1,0,7.37,0,0,0,0,0,6.96,0,0,0,0,,,,,,,,,,,,,6.93,0.41509433962264153,14501
2022,17,Dušan Vlahović,Serbia,Forward,Juventus,1,0,7.23,0,0,0,0,0,6.9,0,0,0,0,,,,,,,,,,,,,7.37,0.04053109713487072,1609396
2022,20,Cristiano Ronaldo,Portugal,Forward,Manchester United,0,0,7.24,0,0,0,0,0,7.54,0,0,0,0,,,,,,,,,,,,,7.37,23.12229210342418,19722980
